2025-08-18 09:56:50,133 - 2025-08-18 09:56:50 - SERVICE_PROBE ALERT from 172.217.17.67 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 32920 | Ports Scanned: 0 | Start: Mon Jun  2 13:27:14 2025 | Duration: 0s
2025-08-18 11:04:10,907 -  SERVICE_PROBE ALERT from 142.250.181.74 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 40488 | Ports Scanned: 0 | Start: Mon Jun  2 13:33:30 2025 | Duration: 0s
2025-08-18 11:04:10,907 -  SYN_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1025, 10786, 110, 111, 113, 135, 139, 143, 1515, 1720, 1723, 17300, 199, 21, 22 | Ports Scanned: 50 | Start: Mon Jun  2 13:33:27 2025 | Duration: 8s
2025-08-18 11:04:10,907 -  OS_FINGERPRINT ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Mon Jun  2 13:33:27 2025 | Duration: 8s
2025-08-18 11:05:09,234 -  SYN_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 10000, 1025, 1053, 10566, 110, 111, 113, 12174, 1311, 135, 139, 143, 1720, 1723, 199 | Ports Scanned: 40 | Start: Mon Jun  2 13:27:36 2025 | Duration: 9s
2025-08-18 11:05:09,234 -  OS_FINGERPRINT ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Mon Jun  2 13:27:36 2025 | Duration: 9s
2025-08-18 11:05:09,234 -  SERVICE_PROBE ALERT from 172.217.17.42 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 54170 | Ports Scanned: 0 | Start: Mon Jun  2 13:27:34 2025 | Duration: 0s
2025-08-18 11:05:09,234 -  SERVICE_PROBE ALERT from 172.217.17.67 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 32920 | Ports Scanned: 0 | Start: Mon Jun  2 13:27:14 2025 | Duration: 0s
2025-08-18 11:05:09,235 -  SERVICE_PROBE ALERT from 10.129.5.252 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 443, 80 | Ports Scanned: 0 | Start: N/A | Duration: 0s
2025-08-18 11:05:09,235 -  SERVICE_PROBE ALERT from 216.58.208.238 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 48874 | Ports Scanned: 0 | Start: Mon Jun  2 13:27:34 2025 | Duration: 0s
2025-08-18 11:05:28,439 -  UDP_SCAN ALERT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1041, 1049, 1065, 1068, 16896, 17185, 18683, 20360, 20445, 20540, 20791, 21360, 22053, 24644, 28547 | Ports Scanned: 40 | Start: Mon Jun  2 13:31:00 2025 | Duration: 8s
