[ALERT] ARP_MITM from 172.20.10.3 | Target_IP: 172.20.10.4 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: 00:00:00:00:00:00 | Previous_MAC: f0:d5:bf:24:3b:19 | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:24:16 2025 | Duration: 13.0s
[ALERT] ICMP ADDRESS MASK REQUEST FLOOD from 172.20.10.3 | Target_IP: 172.20.10.4 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:24:17 2025 | Duration: 0.8s
[ALERT] NULL_SCAN from 34.107.221.82 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 36710, 40510, 40512, 40528, 40538, 43274, 43290 | Ports Scanned: 7 | Start: Wed Jul 30 15:31:57 2025 | Duration: 7.1s
[ALERT] SERVICE_PROBE from 34.107.221.82 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 40528, 40538, 43052, 43056, 43274, 43290, 43298 | Ports Scanned: 7 | Start: Wed Jul 30 15:31:54 2025 | Duration: 9.9s
[ALERT] OS_FINGERPRINT from 34.107.221.82 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:31:54 2025 | Duration: 9.9s
[ALERT] ICMP_PING_SCAN from 172.20.10.3 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:31:43 2025 | Duration: 9.8s
[ALERT] SERVICE_PROBE from 172.20.10.4 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 443, 80 | Ports Scanned: 2 | Start: Wed Jul 30 15:31:58 2025 | Duration: 9.1s
[ALERT] OS_FINGERPRINT from 172.20.10.4 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:31:57 2025 | Duration: 7.8s
[ALERT] ARP_MITM from 172.20.10.4 | Target_IP: 172.20.10.3 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: 08:71:90:49:f6:79 | Previous_MAC: 08:71:90:49:f6:79 | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:31:48 2025 | Duration: 0.0s
[ALERT] ARP_MITM from 172.20.10.4 | Target_IP: 172.20.10.3 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: 00:00:00:00:00:00 | Previous_MAC: 08:71:90:49:f6:79 | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:31:48 2025 | Duration: 0.1s
[ALERT] ARP_MITM from 172.20.10.3 | Target_IP: 172.20.10.4 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: f0:d5:bf:24:3b:19 | Previous_MAC: f0:d5:bf:24:3b:19 | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:31:48 2025 | Duration: 0.2s
[ALERT] ICMP ECHO REQUEST FLOOD from 172.20.10.3 | Target_IP: 172.20.10.4 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:31:43 2025 | Duration: 0.1s
[ALERT] OS_FINGERPRINT from 142.250.201.110 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:29:39 2025 | Duration: 0.0s
[ALERT] SERVICE_PROBE from 172.20.10.4 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 443, 80 | Ports Scanned: 2 | Start: Wed Jul 30 15:29:48 2025 | Duration: 9.9s
[ALERT] OS_FINGERPRINT from 172.20.10.4 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:29:49 2025 | Duration: 8.7s
[ALERT] ICMP_PING_SCAN from 172.20.10.3 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:28:11 2025 | Duration: 99.1s
