[ALERT] ARP_MITM from 10.66.201.232 | Target_IP: 10.66.201.252 | SRC_MAC: 36:30:2a:ea:7c:ab | Claimed_MAC: 00:00:00:00:00:00 | Previous_MAC: f0:d5:bf:24:3b:19 | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:45:18 2025 | Duration: 0.1s
[ALERT] ARP_MITM from 10.66.201.252 | Target_IP: 10.66.201.232 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: 36:30:2a:ea:7c:ab | Previous_MAC: 36:30:2a:ea:7c:ab | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:45:18 2025 | Duration: 0.1s
[ALERT] ARP_MITM from 10.66.201.252 | Target_IP: 10.66.201.232 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: 00:00:00:00:00:00 | Previous_MAC: 36:30:2a:ea:7c:ab | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:45:18 2025 | Duration: 106.0s
[ALERT] BROADCAST_SPOOF from 10.66.201.193 | Target_IP: 255.255.255.255 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: ff:ff:ff:ff:ff:ff | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:47:18 2025 | Duration: 0.0s
[ALERT] BROADCAST_SPOOF from 10.66.201.193 | Target_IP: 10.66.201.192 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: ff:ff:ff:ff:ff:ff | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:37:16 2025 | Duration: 0.0s
[ALERT] GRATUITOUS_ARP from 10.66.201.193 | Target_IP: 10.66.201.193 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: ff:ff:ff:ff:ff:ff | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:37:16 2025 | Duration: 96.8s
[ALERT] BROADCAST_SPOOF from 10.66.201.193 | Target_IP: 10.66.201.193 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: ff:ff:ff:ff:ff:ff | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Tue Aug  5 13:37:16 2025 | Duration: 96.8s
[ALERT] SERVICE_PROBE from 172.20.10.4 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 443, 80 | Ports Scanned: 2 | Start: Wed Jul 30 15:50:31 2025 | Duration: 9.1s
[ALERT] OS_FINGERPRINT from 172.20.10.4 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:50:32 2025 | Duration: 7.3s
[ALERT] OS_FINGERPRINT from 34.120.208.123 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:50:33 2025 | Duration: 0.0s
[ALERT] NULL_SCAN from 34.107.221.82 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 34644, 38186, 38196, 38204, 46368, 46378, 58400, 58410, 58418 | Ports Scanned: 9 | Start: Wed Jul 30 15:50:32 2025 | Duration: 7.6s
[ALERT] SERVICE_PROBE from 34.107.221.82 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 34644, 34654, 34660, 38186, 38196, 38204, 47324, 58410, 58418 | Ports Scanned: 9 | Start: Wed Jul 30 15:50:33 2025 | Duration: 6.2s
[ALERT] OS_FINGERPRINT from 34.107.221.82 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:50:36 2025 | Duration: 3.1s
[ALERT] SERVICE_PROBE from 34.107.221.82 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 42184, 42196, 43852, 43858, 43872 | Ports Scanned: 5 | Start: Wed Jul 30 16:14:09 2025 | Duration: 6.4s
[ALERT] OS_FINGERPRINT from 34.107.221.82 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 16:14:08 2025 | Duration: 6.3s
[ALERT] SERVICE_PROBE from 172.20.10.4 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 443, 80 | Ports Scanned: 2 | Start: Wed Jul 30 16:14:08 2025 | Duration: 6.6s
[ALERT] OS_FINGERPRINT from 172.20.10.4 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 16:14:08 2025 | Duration: 6.2s
[ALERT] ARP_MITM from 172.20.10.4 | Target_IP: 172.20.10.3 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: 08:71:90:49:f6:79 | Previous_MAC: 08:71:90:49:f6:79 | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 16:14:02 2025 | Duration: 0.0s
[ALERT] MAC_CONFLICT from 172.20.10.6 | Target_IP: 172.20.10.4 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: 08:71:90:49:f6:79 | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 16:14:02 2025 | Duration: 0.0s
