[ALERT] UDP_SCAN from 10.35.214.186 | Target_IP: 10.35.214.252 | SRC_MAC: 52:7f:3c:a8:0c:17 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 33044, 33357, 33704, 33740, 34014, 34140, 34204, 34557, 34805, 35727, 36042, 36431, 36676, 36994, 37155 | Ports Scanned: 15 | Count: 7 | Start: Tue Oct 28 09:51:34 2025 | Duration: 6.032528s
[ALERT] OS_FINGERPRINT from 142.251.37.78 | Target_IP: 10.35.214.252 | SRC_MAC: 52:7f:3c:a8:0c:17 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 14 | Start: Tue Oct 28 09:51:51 2025 | Duration: 2.437556s
[ALERT] UDP_SCAN from 10.35.214.193 | Target_IP: 10.35.214.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1025, 1038, 1044, 1059, 1064, 1087, 1419, 1457, 1645, 16573, 16832, 16938, 16974, 17, 17018 | Ports Scanned: 15 | Count: 198 | Start: Tue Oct 28 09:42:03 2025 | Duration: 6.962407s
[ALERT] UDP_SCAN from 10.35.214.193 | Target_IP: 10.35.214.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1066, 1234, 139, 1484, 16449, 1646, 16545, 16548, 16779, 16829, 16862, 17185, 1719, 17205, 17302 | Ports Scanned: 15 | Count: 199 | Start: Tue Oct 28 09:42:18 2025 | Duration: 2.078478s
[ALERT] OS_FINGERPRINT from 142.251.37.78 | Target_IP: 10.35.214.252 | SRC_MAC: 52:7f:3c:a8:0c:17 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 14 | Start: Tue Oct 28 09:51:51 2025 | Duration: 2.437556s
[ALERT] OS_FINGERPRINT from 142.251.37.78 | Target_IP: 10.35.214.252 | SRC_MAC: 52:7f:3c:a8:0c:17 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 22 | Start: Tue Oct 28 09:51:53 2025 | Duration: 0.059409s
[ALERT] UDP_SCAN from 10.35.214.193 | Target_IP: 10.35.214.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1026, 1028, 1032, 1048, 1049, 1057, 1069, 113, 1214, 136, 16708, 16838, 16970, 17077, 17101 | Ports Scanned: 15 | Count: 200 | Start: Tue Oct 28 09:41:38 2025 | Duration: 6.546026s
[ALERT] UDP_SCAN from 10.35.214.186 | Target_IP: 10.35.214.252 | SRC_MAC: 52:7f:3c:a8:0c:17 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 35328, 35464, 35986, 36159, 38472, 38879, 40965, 41622, 42880, 45729, 46044, 47506, 49891, 49958, 50215 | Ports Scanned: 15 | Count: 7 | Start: Tue Oct 28 09:52:58 2025 | Duration: 6.818548s
[ALERT] UDP_SCAN from 10.35.214.193 | Target_IP: 10.35.214.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1000, 1008, 1024, 1046, 1059, 1064, 1072, 120, 1346, 137, 16402, 16680, 16816, 16938, 16972 | Ports Scanned: 15 | Count: 200 | Start: Tue Oct 28 09:42:08 2025 | Duration: 6.606874s
[ALERT] UDP_SCAN from 10.35.214.193 | Target_IP: 10.35.214.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1034, 1045, 1046, 1072, 11487, 120, 123, 137, 161, 16402, 16816, 16829, 16862, 16972, 1701 | Ports Scanned: 15 | Count: 199 | Start: Tue Oct 28 09:42:13 2025 | Duration: 6.347707s
[ALERT] OS_FINGERPRINT from 192.168.18.108 | Target_IP: 89.192.55.176 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 31 | Start: Fri Dec 19 16:14:29 2025 | Duration: 8.490043s
[ALERT] ACK_SCAN from 89.192.55.176 | Target_IP: 192.168.18.108 | SRC_MAC: c0:f6:ec:65:c0:91 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 32880, 32892, 32902, 37786, 37796, 37812, 41346, 41352, 41360, 55408, 59436, 59648, 59664, 59668 | Ports Scanned: 14 | Count: 29 | Start: Fri Dec 19 16:14:29 2025 | Duration: 8.481690s
[ALERT] OS_FINGERPRINT from 89.192.55.176 | Target_IP: 192.168.18.108 | SRC_MAC: c0:f6:ec:65:c0:91 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 29 | Start: Fri Dec 19 16:14:29 2025 | Duration: 8.481690s
[ALERT] OS_FINGERPRINT from 192.168.18.108 | Target_IP: 89.192.55.176 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 29 | Start: Fri Dec 19 16:14:31 2025 | Duration: 6.271563s
[ALERT] OS_FINGERPRINT from 89.192.55.176 | Target_IP: 192.168.18.108 | SRC_MAC: c0:f6:ec:65:c0:91 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 31 | Start: Fri Dec 19 16:14:31 2025 | Duration: 6.271525s
[ALERT] OS_FINGERPRINT from 89.194.32.5 | Target_IP: 192.168.18.108 | SRC_MAC: c0:f6:ec:65:c0:91 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 10 | Start: Fri Dec 19 16:14:29 2025 | Duration: 7.829625s
[ALERT] OS_FINGERPRINT from 192.168.18.108 | Target_IP: 89.194.32.5 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 15 | Start: Fri Dec 19 16:14:28 2025 | Duration: 8.001097s
[ALERT] OS_FINGERPRINT from 192.168.18.108 | Target_IP: 89.192.55.176 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 37 | Start: Fri Dec 19 16:14:29 2025 | Duration: 9.911808s
[ALERT] ACK_SCAN from 89.192.55.176 | Target_IP: 192.168.18.108 | SRC_MAC: c0:f6:ec:65:c0:91 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 32880, 32892, 32902, 37786, 37796, 37812, 41346, 41352, 41360, 55408, 59436, 59648, 59664, 59668 | Ports Scanned: 14 | Count: 35 | Start: Fri Dec 19 16:14:29 2025 | Duration: 9.911847s
[ALERT] OS_FINGERPRINT from 89.192.55.176 | Target_IP: 192.168.18.108 | SRC_MAC: c0:f6:ec:65:c0:91 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 36 | Start: Fri Dec 19 16:14:29 2025 | Duration: 9.911847s
